id;judul;abstrak;tahun
10;Pengelompokan Dokumen Perpustakaan Digital dengan K-Means;banyaknya koleksi dokumen perpustakaan digital menjadi latar belakang penelitian ini algoritma k means clustering digunakan untuk membagi data ke dalam beberapa kelompok berdasarkan kemiripan karakteristik proses dimulai dengan tahap praproses data yang meliputi pembersihan data normalisasi nilai dan pemilihan fitur yang relevan kemudian ditentukan jumlah kelompok algoritma menghitung jarak setiap data terhadap pusat kelompok dan menempatkan data pada kelompok terdekat pusat kelompok diperbarui secara berulang hingga posisinya stabil algoritma k means dipilih karena sederhana efisien dan mudah diterapkan pada data berukuran besar hasil pengujian menunjukkan algoritma ini mampu mengelompokkan data dengan baik dan menghasilkan kelompok yang memiliki kemiripan tinggi di dalamnya pengelompokan ini bermanfaat untuk menemukan pola tersembunyi dalam data serta memudahkan proses analisis data dalam jumlah besar secara terstruktur sistematis dan efisien untuk mendukung pengambilan keputusan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2020
11;Segmentasi Pelanggan Toko Daring Berdasarkan Perilaku Belanja;beragamnya perilaku belanja pelanggan toko daring mendorong penelitian ini algoritma k means clustering digunakan untuk membagi data ke dalam beberapa kelompok berdasarkan kemiripan karakteristik proses dimulai dengan tahap praproses data yang meliputi pembersihan data normalisasi nilai dan pemilihan fitur yang relevan kemudian ditentukan jumlah kelompok algoritma menghitung jarak setiap data terhadap pusat kelompok dan menempatkan data pada kelompok terdekat pusat kelompok diperbarui secara berulang hingga posisinya stabil algoritma k means dipilih karena sederhana efisien dan mudah diterapkan pada data berukuran besar hasil pengujian menunjukkan algoritma ini mampu mengelompokkan data dengan baik dan menghasilkan kelompok yang memiliki kemiripan tinggi di dalamnya pengelompokan ini bermanfaat untuk menemukan pola tersembunyi dalam data serta memudahkan proses analisis data dalam jumlah besar secara terstruktur sistematis dan efisien untuk mendukung pengambilan keputusan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
12;Pengelompokan Mahasiswa Berdasarkan Prestasi dengan K-Means;kebutuhan pemetaan prestasi mahasiswa menjadi dasar penelitian ini algoritma k means clustering digunakan untuk membagi data ke dalam beberapa kelompok berdasarkan kemiripan karakteristik proses dimulai dengan tahap praproses data yang meliputi pembersihan data normalisasi nilai dan pemilihan fitur yang relevan kemudian ditentukan jumlah kelompok algoritma menghitung jarak setiap data terhadap pusat kelompok dan menempatkan data pada kelompok terdekat pusat kelompok diperbarui secara berulang hingga posisinya stabil algoritma k means dipilih karena sederhana efisien dan mudah diterapkan pada data berukuran besar hasil pengujian menunjukkan algoritma ini mampu mengelompokkan data dengan baik dan menghasilkan kelompok yang memiliki kemiripan tinggi di dalamnya pengelompokan ini bermanfaat untuk menemukan pola tersembunyi dalam data serta memudahkan proses analisis data dalam jumlah besar secara terstruktur sistematis dan efisien untuk mendukung pengambilan keputusan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
13;Klasterisasi Wilayah Rawan Bencana Menggunakan K-Means;pentingnya pemetaan wilayah rawan bencana melatarbelakangi penelitian ini algoritma k means clustering digunakan untuk membagi data ke dalam beberapa kelompok berdasarkan kemiripan karakteristik proses dimulai dengan tahap praproses data yang meliputi pembersihan data normalisasi nilai dan pemilihan fitur yang relevan kemudian ditentukan jumlah kelompok algoritma menghitung jarak setiap data terhadap pusat kelompok dan menempatkan data pada kelompok terdekat pusat kelompok diperbarui secara berulang hingga posisinya stabil algoritma k means dipilih karena sederhana efisien dan mudah diterapkan pada data berukuran besar hasil pengujian menunjukkan algoritma ini mampu mengelompokkan data dengan baik dan menghasilkan kelompok yang memiliki kemiripan tinggi di dalamnya pengelompokan ini bermanfaat untuk menemukan pola tersembunyi dalam data serta memudahkan proses analisis data dalam jumlah besar secara terstruktur sistematis dan efisien untuk mendukung pengambilan keputusan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
14;Pengelompokan Berita Online Berdasarkan Topik dengan K-Means;banyaknya berita online yang terbit setiap hari menjadi perhatian penelitian ini algoritma k means clustering digunakan untuk membagi data ke dalam beberapa kelompok berdasarkan kemiripan karakteristik proses dimulai dengan tahap praproses data yang meliputi pembersihan data normalisasi nilai dan pemilihan fitur yang relevan kemudian ditentukan jumlah kelompok algoritma menghitung jarak setiap data terhadap pusat kelompok dan menempatkan data pada kelompok terdekat pusat kelompok diperbarui secara berulang hingga posisinya stabil algoritma k means dipilih karena sederhana efisien dan mudah diterapkan pada data berukuran besar hasil pengujian menunjukkan algoritma ini mampu mengelompokkan data dengan baik dan menghasilkan kelompok yang memiliki kemiripan tinggi di dalamnya pengelompokan ini bermanfaat untuk menemukan pola tersembunyi dalam data serta memudahkan proses analisis data dalam jumlah besar secara terstruktur sistematis dan efisien untuk mendukung pengambilan keputusan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
15;Identifikasi Penyakit Daun Padi melalui Citra dengan CNN;tingginya kerugian akibat penyakit tanaman padi menjadi latar belakang penelitian ini metode convolutional neural network digunakan untuk mengenali objek pada gambar secara otomatis data citra dikumpulkan kemudian melewati tahap praproses yang meliputi pengubahan ukuran gambar normalisasi nilai piksel dan augmentasi data untuk memperbanyak variasi arsitektur convolutional neural network terdiri dari lapisan konvolusi lapisan penggabungan dan lapisan terhubung penuh yang bekerja mengekstraksi ciri penting dari gambar model dilatih menggunakan data latih dan diuji menggunakan data uji untuk mengukur akurasi metode ini dipilih karena terbukti unggul dalam pengolahan citra hasil pengujian menunjukkan model mampu mengklasifikasikan citra dengan akurasi yang tinggi dan konsisten penelitian ini diharapkan membantu proses identifikasi objek pada gambar secara cepat dan akurat sehingga dapat diterapkan pada berbagai bidang seperti pertanian kesehatan keamanan dan pengelolaan lingkungan secara luas dan berkelanjutan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2019
16;Pengenalan Jenis Buah Berbasis Citra Menggunakan CNN;kebutuhan otomatisasi penyortiran buah mendorong penelitian ini metode convolutional neural network digunakan untuk mengenali objek pada gambar secara otomatis data citra dikumpulkan kemudian melewati tahap praproses yang meliputi pengubahan ukuran gambar normalisasi nilai piksel dan augmentasi data untuk memperbanyak variasi arsitektur convolutional neural network terdiri dari lapisan konvolusi lapisan penggabungan dan lapisan terhubung penuh yang bekerja mengekstraksi ciri penting dari gambar model dilatih menggunakan data latih dan diuji menggunakan data uji untuk mengukur akurasi metode ini dipilih karena terbukti unggul dalam pengolahan citra hasil pengujian menunjukkan model mampu mengklasifikasikan citra dengan akurasi yang tinggi dan konsisten penelitian ini diharapkan membantu proses identifikasi objek pada gambar secara cepat dan akurat sehingga dapat diterapkan pada berbagai bidang seperti pertanian kesehatan keamanan dan pengelolaan lingkungan secara luas dan berkelanjutan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
17;Deteksi Penyakit Kulit dari Citra Medis dengan CNN;pentingnya diagnosis dini penyakit kulit menjadi dasar penelitian ini metode convolutional neural network digunakan untuk mengenali objek pada gambar secara otomatis data citra dikumpulkan kemudian melewati tahap praproses yang meliputi pengubahan ukuran gambar normalisasi nilai piksel dan augmentasi data untuk memperbanyak variasi arsitektur convolutional neural network terdiri dari lapisan konvolusi lapisan penggabungan dan lapisan terhubung penuh yang bekerja mengekstraksi ciri penting dari gambar model dilatih menggunakan data latih dan diuji menggunakan data uji untuk mengukur akurasi metode ini dipilih karena terbukti unggul dalam pengolahan citra hasil pengujian menunjukkan model mampu mengklasifikasikan citra dengan akurasi yang tinggi dan konsisten penelitian ini diharapkan membantu proses identifikasi objek pada gambar secara cepat dan akurat sehingga dapat diterapkan pada berbagai bidang seperti pertanian kesehatan keamanan dan pengelolaan lingkungan secara luas dan berkelanjutan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
18;Klasifikasi Jenis Sampah untuk Daur Ulang Berbasis CNN;permasalahan pengelolaan sampah yang kompleks melatarbelakangi penelitian ini metode convolutional neural network digunakan untuk mengenali objek pada gambar secara otomatis data citra dikumpulkan kemudian melewati tahap praproses yang meliputi pengubahan ukuran gambar normalisasi nilai piksel dan augmentasi data untuk memperbanyak variasi arsitektur convolutional neural network terdiri dari lapisan konvolusi lapisan penggabungan dan lapisan terhubung penuh yang bekerja mengekstraksi ciri penting dari gambar model dilatih menggunakan data latih dan diuji menggunakan data uji untuk mengukur akurasi metode ini dipilih karena terbukti unggul dalam pengolahan citra hasil pengujian menunjukkan model mampu mengklasifikasikan citra dengan akurasi yang tinggi dan konsisten penelitian ini diharapkan membantu proses identifikasi objek pada gambar secara cepat dan akurat sehingga dapat diterapkan pada berbagai bidang seperti pertanian kesehatan keamanan dan pengelolaan lingkungan secara luas dan berkelanjutan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2019
19;Pengenalan Ekspresi Wajah Mahasiswa Menggunakan CNN;kebutuhan analisis ekspresi pada pembelajaran daring menjadi perhatian penelitian ini metode convolutional neural network digunakan untuk mengenali objek pada gambar secara otomatis data citra dikumpulkan kemudian melewati tahap praproses yang meliputi pengubahan ukuran gambar normalisasi nilai piksel dan augmentasi data untuk memperbanyak variasi arsitektur convolutional neural network terdiri dari lapisan konvolusi lapisan penggabungan dan lapisan terhubung penuh yang bekerja mengekstraksi ciri penting dari gambar model dilatih menggunakan data latih dan diuji menggunakan data uji untuk mengukur akurasi metode ini dipilih karena terbukti unggul dalam pengolahan citra hasil pengujian menunjukkan model mampu mengklasifikasikan citra dengan akurasi yang tinggi dan konsisten penelitian ini diharapkan membantu proses identifikasi objek pada gambar secara cepat dan akurat sehingga dapat diterapkan pada berbagai bidang seperti pertanian kesehatan keamanan dan pengelolaan lingkungan secara luas dan berkelanjutan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
20;Penghitungan Kendaraan pada Rekaman CCTV dengan YOLO;kebutuhan pemantauan lalu lintas otomatis menjadi latar belakang penelitian ini algoritma yolo digunakan untuk mengenali dan menandai posisi objek pada gambar secara real time data citra dikumpulkan kemudian dianotasi dengan menandai posisi setiap objek arsitektur yolo membagi gambar menjadi beberapa kotak dan memprediksi kotak pembatas serta kelas objek secara langsung dalam satu tahap sehingga proses deteksi berlangsung sangat cepat model dilatih menggunakan data latih dan diuji untuk mengukur akurasi serta kecepatan deteksi algoritma yolo dipilih karena mampu mendeteksi objek secara real time dengan akurasi yang baik hasil pengujian menunjukkan algoritma ini mampu mendeteksi objek dengan cepat tepat dan andal penelitian ini bermanfaat untuk penerapan sistem pemantauan otomatis seperti penghitungan kendaraan pengawasan keamanan dan pemantauan lalu lintas pada gambar maupun video secara efisien dan akurat dalam berbagai kondisi lapangan yang beragam hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2020
21;Deteksi Pelanggaran Lalu Lintas Berbasis YOLO;tingginya angka pelanggaran lalu lintas mendorong penelitian ini algoritma yolo digunakan untuk mengenali dan menandai posisi objek pada gambar secara real time data citra dikumpulkan kemudian dianotasi dengan menandai posisi setiap objek arsitektur yolo membagi gambar menjadi beberapa kotak dan memprediksi kotak pembatas serta kelas objek secara langsung dalam satu tahap sehingga proses deteksi berlangsung sangat cepat model dilatih menggunakan data latih dan diuji untuk mengukur akurasi serta kecepatan deteksi algoritma yolo dipilih karena mampu mendeteksi objek secara real time dengan akurasi yang baik hasil pengujian menunjukkan algoritma ini mampu mendeteksi objek dengan cepat tepat dan andal penelitian ini bermanfaat untuk penerapan sistem pemantauan otomatis seperti penghitungan kendaraan pengawasan keamanan dan pemantauan lalu lintas pada gambar maupun video secara efisien dan akurat dalam berbagai kondisi lapangan yang beragam hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2023
22;Pengawasan Penggunaan Masker di Area Publik dengan YOLO;pentingnya kepatuhan protokol kesehatan menjadi dasar penelitian ini algoritma yolo digunakan untuk mengenali dan menandai posisi objek pada gambar secara real time data citra dikumpulkan kemudian dianotasi dengan menandai posisi setiap objek arsitektur yolo membagi gambar menjadi beberapa kotak dan memprediksi kotak pembatas serta kelas objek secara langsung dalam satu tahap sehingga proses deteksi berlangsung sangat cepat model dilatih menggunakan data latih dan diuji untuk mengukur akurasi serta kecepatan deteksi algoritma yolo dipilih karena mampu mendeteksi objek secara real time dengan akurasi yang baik hasil pengujian menunjukkan algoritma ini mampu mendeteksi objek dengan cepat tepat dan andal penelitian ini bermanfaat untuk penerapan sistem pemantauan otomatis seperti penghitungan kendaraan pengawasan keamanan dan pemantauan lalu lintas pada gambar maupun video secara efisien dan akurat dalam berbagai kondisi lapangan yang beragam hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
